RDF Type	ID	Parent	Label	editor preferred term	Alternate name	Domain	Range	Inverse Of	see vivo 1	Definition	Example	Curation Status	Editors Note	term editor	Reference
TYPE	ID	SP %	AL rdfs:label@en	AL iao:0000111@en	AL iao:0000118@en	DOMAIN	RANGE	AT owl:inverseOf^^xsd:anyURI	AT org:1000001^^xsd:anyURI	AL iao:0000115@en	AL iao:0000112@en	AT iao:0000114^^xsd:anyuri	AL iao:0000116@en	AL iao:0000117@en	AL iao:0000119@en
object property	org:2000001	owl:topObjectProperty	occupies			org:0000001	org:0000038			"An organization occupies a geographical location is it has one of more people at the location, or has legal rights to the location"	The Navaho Nation occupies the Navaho Nation reservation.  Microsoft occupies a campus in Redmond Washington.  The University of Pittsburg occupies the 	iao:0000120		Michael Conlon https://orcid.org/0000-0002-1304-8447	Michael Conlon https://orcid.org/0000-0002-1304-8447
object property	org:2000002	bfo:0000051	has occurent part			bfo:0000003	bfo:0000003	obo:RO_0002012		A has part relation that applies only to occurents	"The project to put a man on the man achieved success on July 20, 1969"	iao:0000423	The inverse of RO_2012 and should be defined in RO.  Defined here for convenience since it is missing from RO.	Michael Conlon https://orcid.org/0000-0002-1304-8447	Michael Conlon https://orcid.org/0000-0002-1304-8447
object property	org:2000003	owl:topObjectProperty	has time instant			bfo:0000035	time:Instant		http://vivoweb.org/ontology/core#dateTimeValue	The property that associates a process boundary with the time instant at which the process boundary occurs	Duraspace was dissolved (a process boundary) in 2019 (a time instant with an XSDdatetimestamp and a year precision)	iao:0000423	This provides a bidge between BFO ontologies and the W3C time ontology	Michael Conlon https://orcid.org/0000-0002-1304-8448	Michael Conlon https://orcid.org/0000-0002-1304-8448
object property	org:2000004	owl:topObjectProperty	has organizational interest	has interest	interested in 	org:0000001	skos:Concept		http://vivoweb.org/ontology/core#hasResearchArea	The property that associates an organization with a concept that the organization manifests in its work.	LYRASIS has organizational interest open source software.  The New York Yankees Baseball Club has organizational interest baseball.  The Gettysburg Foundation has organizational interest The Battle of Gettysburg.	iao:0000120	"Additional subproperties could provide insight regarding the nature of the interest such as research interest, commercial interest, and so on"	Michael Conlon https://orcid.org/0000-0002-1304-8448	Michael Conlon https://orcid.org/0000-0002-1304-8448
object property	org:2000005	owl:topObjectProperty	has website			org:0000001	org:0000050	org:2000006		The property that associates an organization with its website	LYRASIS has website https://lyrasis.org.  Moscow State University has website https://msu.ru	iao:0000423		Michael Conlon https://orcid.org/0000-0002-1304-8448	Michael Conlon https://orcid.org/0000-0002-1304-8448
object property	org:2000006	owl:topObjectProperty	website of			org:0000050	org:0000001	org:2000005		The property that associates a website with its organization.	The website https://vivoweb.org website of The VIVO Project	iao:0000423		Michael Conlon https://orcid.org/0000-0002-1304-8448	Michael Conlon https://orcid.org/0000-0002-1304-8448
object property	org:2000007	owl:topObjectProperty	has successor organization	has successor		org:0000001	org:0000001	org:2000008		"The property that associates an organization with the organization that succeeds it.  The preceeding organization ceases to exist, the successor is brought into existence."	The United Colonies has successor organization The United States of America	iao:0000120		Michael Conlon https://orcid.org/0000-0002-1304-8448	Michael Conlon https://orcid.org/0000-0002-1304-8448
object property	org:2000008	owl:topObjectProperty	successor organization of	successor of		org:0000001	org:0000001	org:2000007		The property that associates an on organization with the organization that preceeded it.	The United Nations is the successor of the The League of Nations.	iao:0000120		Michael Conlon https://orcid.org/0000-0002-1304-8448	Michael Conlon https://orcid.org/0000-0002-1304-8448
object property	org:2000009	owl:topObjectProperty	has organizational part		parent of	org:0000001	org:0000005	org:2000010		The property that asserts an organization has an organization part	The University of Florida has organizational part College of Medicine; The College of Medicine has organizational part Department of Anesthesiology	iao:0000120		Michael Conlon https://orcid.org/0000-0002-1304-8448	Michael Conlon https://orcid.org/0000-0002-1304-8448
object property	org:2000010	owl:topObjectProperty	organizational part of		child of	org:0000005	org:0000001	org:2000009		The property that an organization part is part of an organization	The College of Medicine at UF organizational part of UF; Department of Anethesiology at UF organizational part of College of Medicine at UF	iao:0000120		Michael Conlon https://orcid.org/0000-0002-1304-8448	Michael Conlon https://orcid.org/0000-0002-1304-8448
object property	org:2000011	owl:topObjectProperty	affiliated with		linked to	org:0000001	org:0000001		http://vivoweb.org/ontology/core#affiliatedOrganization	The property that associates an organization with another organization that is not an organizational part associatiion	The Theatre Library Association is an affiliate of the American Library Association	iao:0000120	Affiliate relationships exist in many different types of configurations across all sorts of industries.  This term has very broad semantics.	Michael Conlon https://orcid.org/0000-0002-1304-8448	Michael Conlon https://orcid.org/0000-0002-1304-8448
object property	org:2000012	owl:topObjectProperty	has spin-off organization		has spinout	org:0000001	org:0000001	org:2000013		The property that associates an organization with a part that is now independent	Google is a spin-off company of Stanford University; AGTC is a spin-off company of the University of Florida	iao:0000120	To say that a is a spin-off of b implies there is a spin-off process and that a is the output of that spin-off process	Michael Conlon https://orcid.org/0000-0002-1304-8448	Michael Conlon https://orcid.org/0000-0002-1304-8448
object property	org:2000013	owl:topObjectProperty	spin-off organization of		spinout of	org:0000001	org:0000001	org:2000012		The property that associates an organization with an organization of which it was formerly a part	Open Clinical is a spin-off of Oxford University. ToposNomos Ltd. is a spin-off company of the University of Magdeburg	iao:0000120		Michael Conlon https://orcid.org/0000-0002-1304-8448	Michael Conlon https://orcid.org/0000-0002-1304-8448
object property	org:2000014	owl:topObjectProperty	has organizational member	has member		org:0000001	org:0000001	org:2000015		The property that associates an organization with one of its members	The EU has member Republic of Ireland	iao:0000120	To say that on organizaton is a member of another implies there is a membership and that the two organizations each have  roles that 	Michael Conlon https://orcid.org/0000-0002-1304-8448	Michael Conlon https://orcid.org/0000-0002-1304-8448
object property	org:2000015	owl:topObjectProperty	organizational member of	member of		org:0000001	org:0000001	org:2000014		The property that associates a member organizaiton with the organization of which it is a member	The University of North Carolina is a member of the Southeast University Research Association	iao:0000120		Michael Conlon https://orcid.org/0000-0002-1304-8448	Michael Conlon https://orcid.org/0000-0002-1304-8448
object property	org:2000016	owl:topObjectProperty	has organizational employee	has employee		org:0000001	obo:NCBITaxon_9606	org:2000017	http://purl.obolibrary.org/obo/ERO_0000787	The poperty that assocates an organization with an employee of the organization	"For the season ennnding in 2021, the Los Angeles Lakers have employee LeBron James."	iao:0000120		Michael Conlon https://orcid.org/0000-0002-1304-8448	Michael Conlon https://orcid.org/0000-0002-1304-8448
object property	org:2000017	owl:topObjectProperty	organizational employee of	employee of		obo:NCBITaxon_9606	org:0000001	org:2000016	http://purl.obolibrary.org/obo/ERO_0000787	The property that associates a person with the organization of which that person is an employee	The president of a university is typically an employee of the university	iao:0000120		Michael Conlon https://orcid.org/0000-0002-1304-8448	Michael Conlon https://orcid.org/0000-0002-1304-8448
object property	org:2000018	owl:topObjectProperty	has organizational associate	has associate		org:0000001	obo:NCBITaxon_9606	org:2000019		The property that associates an organization with a person who is associated with the organization	One might say that an organization has associates who are their former employees	iao:0000120	Associate is intentionally loose.  A person can be associated with an organization in many ways.  Subsequent additional properties may be needed to clarify.	Michael Conlon https://orcid.org/0000-0002-1304-8448	Michael Conlon https://orcid.org/0000-0002-1304-8448
object property	org:2000019	owl:topObjectProperty	organizational associate of	associate of		obo:NCBITaxon_9606	org:0000001	org:2000018		The property that associates a person with an organization with which they are associated	One might say that people who have reviewed articles for a journal are associateds of that journal	iao:0000120		Michael Conlon https://orcid.org/0000-0002-1304-8448	Michael Conlon https://orcid.org/0000-0002-1304-8448
object property	org:2000020	owl:topObjectProperty	has organizational head	has head		org:0000001	obo:NCBITaxon_9606	org:2000021	http://vivoweb.org/ontology/core#LeaderRole	The property that associates an organziation with the person who is the head of the organization	"As of this writing, Google has head Sundar Pichai"	iao:0000120		Michael Conlon https://orcid.org/0000-0002-1304-8448	Michael Conlon https://orcid.org/0000-0002-1304-8448
object property	org:2000021	owl:topObjectProperty	organizational head of	head of		obo:NCBITaxon_9606	org:0000001	org:2000020		The property that associates a person with an organization which they are they head of	"As of this writing, Elon Musk is head of Tesla"	iao:0000120		Michael Conlon https://orcid.org/0000-0002-1304-8448	Michael Conlon https://orcid.org/0000-0002-1304-8448
object property	org:2000022	owl:topObjectProperty	has organizational volunteer	has volunteer		org:0000001	obo:NCBITaxon_9606	org:2000023		The property that associates an organization with a person who volunteers for the organization	Volunteer fire departments have firefighters who are volunteers of the fire department	iao:0000120		Michael Conlon https://orcid.org/0000-0002-1304-8448	Michael Conlon https://orcid.org/0000-0002-1304-8448
object property	org:2000023	owl:topObjectProperty	organizational volunteer of	volunteer of		obo:NCBITaxon_9606	org:0000001	org:2000022		The property that associates a person with an organization for which they volunteer	Many Americans have served as volunteers of the Peace Corps	iao:0000120		Michael Conlon https://orcid.org/0000-0002-1304-8448	Michael Conlon https://orcid.org/0000-0002-1304-8448
object property	org:2000024	owl:topObjectProperty	has organizational appointee	has appointee		org:0000001	obo:NCBITaxon_9606	org:2000025		The property that associates an organization with a person who is appointed by the organization to some post or position within the organization	"As of this writing, the government of the UK has appointed Amanda Milling Minister without Portfolio (unpaid)"	iao:0000120	"Appointee typically includes a title, may or may not include a salary."	Michael Conlon https://orcid.org/0000-0002-1304-8448	Michael Conlon https://orcid.org/0000-0002-1304-8448
object property	org:2000025	owl:topObjectProperty	organizational appointee of	appointee of		obo:NCBITaxon_9606	org:0000001	org:2000024		The property that associates a person with the organization which has appointed the person to some post or position within the organization	The board of trustees of a university may appoint the university president	iao:0000120		Michael Conlon https://orcid.org/0000-0002-1304-8448	Michael Conlon https://orcid.org/0000-0002-1304-8448
